Frame Time, x, y
0.000,105,180
0.042,105,180
0.083,105,180
0.125,105,180
0.167,105,180
0.209,93,161
0.250,105,180
0.292,105,180
0.334,100,172
0.375,75,153
0.417,88,160
0.459,65,153
0.501,66,150
0.542,64,159
0.584,65,156
0.626,61,163
0.667,62,161
0.709,51,166
0.751,57,165
0.792,32,169
0.834,41,167
0.876,59,173
0.918,42,171
0.959,56,174
1.001,94,180
1.043,56,176
1.084,59,179
1.126,75,180
1.168,91,173
1.210,104,180
1.251,104,179
1.293,98,176
1.335,105,180
1.376,92,174
1.418,98,177
1.460,105,180
1.502,101,173
1.543,105,180
1.585,105,180
1.627,104,178
1.668,92,160
1.710,98,169
1.752,96,165
1.793,93,161
1.835,92,162
1.877,92,161
1.919,92,163
1.960,93,166
2.002,92,164
2.044,93,165
2.085,93,166
2.127,93,169
2.169,93,166
2.211,93,167
2.252,93,168
2.294,93,171
2.336,93,169
2.377,93,170
2.419,93,170
2.461,93,172
2.503,93,171
2.544,93,172
2.586,93,172
2.628,92,174
2.669,93,173
2.711,93,173
2.753,92,173
2.794,92,174
2.836,92,174
2.878,91,175
2.920,89,176
2.961,91,175
3.003,91,175
3.045,90,176
3.086,88,177
3.128,89,176
3.170,89,177
3.212,89,177
3.253,87,179
3.295,87,178
3.337,87,178
3.378,87,179
3.420,90,180
3.462,87,179
3.504,87,180
3.545,88,180
3.587,103,180
3.629,93,180
3.670,97,180
3.712,100,180
3.754,105,180
3.795,105,180
3.837,105,180
3.879,105,180
3.921,105,180
3.962,105,180
4.004,105,180
4.046,105,180
4.087,105,180
4.129,105,180
