Frame Time, x, y
0.000,-1,-1
0.042,-1,-1
0.083,-1,-1
0.125,-1,-1
0.167,-1,-1
0.209,-1,-1
0.250,-1,-1
0.292,-1,-1
0.334,-1,-1
0.375,-1,-1
0.417,-1,-1
0.459,-1,-1
0.501,-1,-1
0.542,-1,-1
0.584,-1,-1
0.626,-1,-1
0.667,-1,-1
0.709,-1,-1
0.751,-1,-1
0.792,-1,-1
0.834,-1,-1
0.876,-1,-1
0.918,-1,-1
0.959,-1,-1
1.001,-1,-1
1.043,-1,-1
1.084,-1,-1
1.126,-1,-1
1.168,-1,-1
1.210,-1,-1
1.251,-1,-1
1.293,-1,-1
1.335,-1,-1
1.376,-1,-1
1.418,-1,-1
1.460,-1,-1
1.501,-1,-1
1.543,-1,-1
1.585,-1,-1
1.627,-1,-1
1.668,-1,-1
1.710,-1,-1
1.752,-1,-1
1.793,-1,-1
1.835,-1,-1
1.877,-1,-1
1.919,-1,-1
1.960,-1,-1
2.002,-1,-1
2.044,-1,-1
2.085,-1,-1
2.127,-1,-1
2.169,-1,-1
2.211,-1,-1
2.252,-1,-1
2.294,-1,-1
2.336,-1,-1
2.377,-1,-1
2.419,-1,-1
2.461,-1,-1
2.503,-1,-1
2.544,-1,-1
2.586,-1,-1
2.628,-1,-1
2.669,-1,-1
2.711,-1,-1
2.753,-1,-1
2.794,-1,-1
2.836,-1,-1
2.878,-1,-1
2.920,-1,-1
2.961,-1,-1
3.003,-1,-1
3.045,-1,-1
3.086,-1,-1
3.128,-1,-1
3.170,-1,-1
3.212,-1,-1
3.253,-1,-1
3.295,-1,-1
3.337,-1,-1
3.378,-1,-1
3.420,-1,-1
3.462,-1,-1
3.504,-1,-1
3.545,-1,-1
3.587,-1,-1
3.629,-1,-1
3.670,-1,-1
3.712,-1,-1
3.754,-1,-1
3.795,-1,-1
3.837,-1,-1
3.879,-1,-1
3.921,-1,-1
3.962,-1,-1
4.004,-1,-1
4.046,-1,-1
4.087,-1,-1
4.129,-1,-1
4.171,-1,-1
4.213,-1,-1
4.254,-1,-1
4.296,-1,-1
4.338,-1,-1
4.379,-1,-1
4.421,-1,-1
4.463,-1,-1
4.504,-1,-1
4.546,-1,-1
4.588,-1,-1
4.630,-1,-1
4.671,-1,-1
4.713,-1,-1
4.755,-1,-1
4.796,-1,-1
4.838,-1,-1
4.880,-1,-1
4.922,-1,-1
4.963,-1,-1
5.005,-1,-1
5.047,-1,-1
5.088,-1,-1
5.130,-1,-1
5.172,-1,-1
5.214,-1,-1
5.255,-1,-1
5.297,-1,-1
5.339,-1,-1
5.380,-1,-1
5.422,-1,-1
5.464,-1,-1
5.506,-1,-1
5.547,-1,-1
5.589,-1,-1
5.631,-1,-1
5.672,-1,-1
5.714,-1,-1
5.756,-1,-1
5.797,-1,-1
5.839,-1,-1
5.881,-1,-1
5.923,-1,-1
5.964,-1,-1
6.006,-1,-1
6.048,-1,-1
6.089,-1,-1
6.131,-1,-1
6.173,-1,-1
6.215,-1,-1
6.256,-1,-1
6.298,-1,-1
6.340,-1,-1
6.381,-1,-1
6.423,-1,-1
6.465,-1,-1
6.507,-1,-1
6.548,-1,-1
6.590,-1,-1
6.632,-1,-1
6.673,-1,-1
6.715,-1,-1
6.757,-1,-1
6.798,-1,-1
6.840,-1,-1
6.882,-1,-1
6.924,-1,-1
6.965,-1,-1
7.007,-1,-1
7.049,-1,-1
7.090,-1,-1
7.132,-1,-1
7.174,-1,-1
7.216,-1,-1
7.257,-1,-1
7.299,-1,-1
7.341,-1,-1
7.382,-1,-1
7.424,-1,-1
7.466,-1,-1
7.507,-1,-1
7.549,-1,-1
7.591,-1,-1
7.633,-1,-1
7.674,-1,-1
7.716,-1,-1
7.758,-1,-1
7.799,-1,-1
7.841,-1,-1
7.883,-1,-1
7.925,-1,-1
7.966,-1,-1
8.008,-1,-1
8.050,-1,-1
8.091,-1,-1
8.133,-1,-1
8.175,-1,-1
8.217,-1,-1
8.258,-1,-1
8.300,-1,-1
8.342,-1,-1
8.383,-1,-1
8.425,-1,-1
8.467,-1,-1
8.509,-1,-1
8.550,-1,-1
8.592,-1,-1
8.634,-1,-1
8.675,-1,-1
8.717,-1,-1
8.759,-1,-1
8.800,-1,-1
8.842,-1,-1
8.884,-1,-1
8.926,-1,-1
8.967,-1,-1
9.009,-1,-1
9.051,-1,-1
9.092,-1,-1
9.134,-1,-1
9.176,-1,-1
9.218,-1,-1
9.259,-1,-1
9.301,-1,-1
9.343,-1,-1
9.384,-1,-1
9.426,-1,-1
9.468,-1,-1
9.510,-1,-1
9.551,-1,-1
9.593,-1,-1
9.635,-1,-1
9.676,-1,-1
9.718,-1,-1
9.760,-1,-1
9.801,-1,-1
9.843,-1,-1
9.885,-1,-1
9.927,-1,-1
9.968,-1,-1
10.010,-1,-1
10.052,-1,-1
10.093,-1,-1
10.135,-1,-1
10.177,-1,-1
10.219,-1,-1
10.260,-1,-1
10.302,-1,-1
10.344,-1,-1
10.385,-1,-1
10.427,-1,-1
10.469,-1,-1
10.510,-1,-1
10.552,-1,-1
10.594,-1,-1
10.636,-1,-1
10.677,-1,-1
10.719,-1,-1
10.761,-1,-1
10.802,-1,-1
10.844,-1,-1
10.886,-1,-1
10.928,-1,-1
10.969,-1,-1
11.011,-1,-1
