Frame Time, x, y
0.000,230,419
0.042,56,73
0.083,229,423
0.125,230,420
0.167,229,424
0.209,113,55
0.250,61,70
0.292,106,58
0.334,125,56
0.375,119,52
0.417,117,53
0.459,119,55
0.501,121,53
0.542,120,53
0.584,120,52
0.626,121,53
0.667,121,53
0.709,129,53
0.751,129,52
0.792,129,52
0.834,129,53
0.876,129,54
0.918,130,53
0.959,128,53
1.001,130,53
1.043,129,55
1.084,130,55
1.126,131,54
1.168,130,55
1.210,129,56
1.251,130,56
1.293,131,55
1.335,130,56
1.376,62,71
1.418,132,56
1.460,130,56
1.501,62,70
1.543,132,57
1.585,62,71
1.627,132,56
1.668,61,72
1.710,60,73
1.752,59,72
1.793,60,72
1.835,60,73
1.877,56,75
1.919,59,74
1.960,59,74
2.002,57,75
2.044,57,75
2.085,58,75
2.127,57,75
2.169,57,75
2.211,57,76
2.252,57,76
2.294,57,76
2.336,57,76
2.377,53,79
2.419,56,77
2.461,56,77
2.503,57,77
2.544,55,77
2.586,54,78
2.628,53,79
2.669,56,77
2.711,55,78
2.753,55,78
2.794,56,78
2.836,197,443
2.878,55,78
2.920,54,79
2.961,54,78
3.003,55,79
3.045,193,445
3.086,194,444
3.128,54,79
3.170,194,445
3.212,191,445
3.253,192,445
3.295,193,445
3.337,192,445
3.378,189,446
3.420,190,446
3.462,191,446
3.504,189,446
3.545,187,446
3.587,188,446
3.629,188,446
3.670,188,446
3.712,185,447
3.754,187,447
3.795,187,446
3.837,186,447
3.879,183,447
3.921,184,447
3.962,185,447
4.004,184,447
4.046,181,447
4.087,182,446
4.129,183,447
4.171,181,447
4.213,50,82
4.254,180,447
4.296,181,447
4.338,180,447
4.379,177,448
4.421,178,447
4.463,50,83
4.504,178,448
4.546,51,82
4.588,176,449
4.630,177,448
4.671,51,83
4.713,175,450
4.755,50,83
4.796,51,83
4.838,51,82
4.880,174,452
4.922,174,451
4.963,175,450
5.005,174,451
5.047,174,452
5.088,175,453
5.130,175,452
5.172,174,452
5.214,174,452
5.255,174,452
5.297,174,452
5.339,174,452
5.380,173,453
5.422,173,453
5.464,174,453
5.506,173,453
5.547,172,454
5.589,173,454
5.631,173,453
5.672,172,454
5.714,171,454
5.756,172,454
5.797,172,454
5.839,171,454
5.881,169,456
5.923,170,455
5.964,171,455
6.006,170,456
6.048,168,457
6.089,168,457
6.131,169,456
6.173,168,457
6.215,165,458
6.256,166,458
6.298,167,458
6.340,166,458
6.381,164,459
6.423,165,459
6.465,165,459
6.507,164,459
6.548,162,460
6.590,163,460
6.632,163,460
6.673,163,460
6.715,160,461
6.757,161,461
6.798,162,461
6.840,160,461
6.882,156,463
6.924,158,462
6.965,159,462
7.007,157,463
7.049,153,464
7.090,155,464
7.132,155,464
7.174,154,464
7.216,150,467
7.257,151,465
7.299,152,465
7.341,151,466
7.382,147,467
7.424,149,467
7.466,148,467
7.507,146,468
7.549,142,470
7.591,144,469
7.633,145,468
7.674,143,470
7.716,139,472
7.758,140,472
7.799,141,471
7.841,139,472
7.883,136,474
7.925,138,473
7.966,138,473
8.008,137,474
8.050,133,476
8.091,135,475
8.133,135,474
8.175,134,475
8.217,128,480
8.258,130,478
8.300,131,477
8.342,129,479
8.383,124,482
8.425,126,482
8.467,127,481
8.509,125,482
8.550,122,485
8.592,123,483
8.634,124,483
8.675,123,484
8.717,120,488
8.759,121,487
8.800,122,486
8.842,121,488
8.884,120,489
8.926,120,488
8.967,120,488
9.009,120,489
9.051,118,490
9.092,119,490
9.134,119,489
9.176,118,490
9.218,115,492
9.259,117,491
9.301,117,491
9.343,116,491
9.384,113,493
9.426,114,492
9.468,115,492
9.510,114,492
9.551,110,494
9.593,111,494
9.635,112,493
9.676,110,494
9.718,108,495
9.760,108,494
9.801,109,494
9.843,108,494
