Frame Time, x, y
0.000,105,180
0.042,105,180
0.083,105,180
0.125,105,180
0.167,105,180
0.209,96,166
0.250,105,180
0.292,105,180
0.334,103,175
0.375,80,158
0.417,91,164
0.459,71,157
0.501,72,154
0.542,70,162
0.584,71,160
0.626,67,166
0.667,68,164
0.709,64,169
0.751,66,167
0.792,56,172
0.834,61,171
0.876,66,174
0.918,55,173
0.959,73,176
1.001,99,180
1.043,80,178
1.084,80,179
1.126,85,180
1.168,96,175
1.210,105,180
1.251,105,180
1.293,101,178
1.335,105,180
1.376,96,176
1.418,102,178
1.460,105,180
1.502,103,177
1.543,105,180
1.585,105,180
1.627,105,179
1.668,95,165
1.710,101,173
1.752,99,169
1.793,97,167
1.835,96,166
1.877,95,166
1.919,95,167
1.960,95,169
2.002,95,167
2.044,95,168
2.085,96,168
2.127,95,171
2.169,95,169
2.211,95,170
2.252,95,170
2.294,95,172
2.336,95,171
2.377,95,171
2.419,95,172
2.461,95,174
2.503,95,173
2.544,95,173
2.586,95,173
2.628,95,175
2.669,95,174
2.711,95,174
2.753,95,175
2.794,95,176
2.836,95,175
2.878,95,176
2.920,95,177
2.961,95,176
3.003,95,176
3.045,95,177
3.086,95,178
3.128,95,177
3.170,95,178
3.212,95,178
3.253,94,179
3.295,95,179
3.337,94,179
3.378,94,179
3.420,97,180
3.462,94,180
3.504,94,180
3.545,95,180
3.587,104,180
3.629,99,180
3.670,101,180
3.712,103,180
3.754,105,180
3.795,105,180
3.837,105,180
3.879,105,180
3.921,105,180
3.962,105,180
4.004,105,180
4.046,105,180
4.087,105,180
4.129,105,180
